email,genero,faixa_etaria,escolaridade_categoria,renda_media,profissao_categoria,onde_acompanha_conteudo,nivel_idioma,fala_outro_idioma_categoria,motivo_fluencia_espanhol_categoria,problema_aprender_categoria,investir_portal_vhe,tempo_antes_redes_sociais,fez_curso_espanhol,ouviu_falar_portal_vhe,lancamentos,leadscore_estimado_total,faixa_predita_por_regressao,possivel_comprador_regressivo
lead22@exemplo.com,Masculino,18 - 24,Fundamental completo,De 1.500 a 2.500,Saúde,Não acompanhava,Avançado,Inglês Básico,Viagem,Falta de prática / escuta,Sim,1-3 meses,Não,Sim,L2-25,1635.79,D,False
lead23@exemplo.com,Masculino,44 - 55,Fundamental completo,Até 1.500,Vendas,Facebook,Iniciante (voltando),Outros,Todas Alternativas Acima,Outros,Sim,>6 meses,Sim,Sim,L2-25,1930.96,D,False
lead24@exemplo.com,Masculino,18 - 24,Superior incompleto,Mais de 10.000,Docência,Facebook,Perdido,Inglês Intermediário ou Avançado,Intercâmbio,Falta de disciplina / foco,Não,<1 mês,Sim,Não,L2-25,2898.53,C,False
lead25@exemplo.com,Masculino,44 - 55,Superior completo,Não tenho renda.,Docência,YouTube,Perdido,Outros,Todas Alternativas Acima,Falta de prática / escuta,Não,>6 meses,Sim,Não,L2-25,2170.05,D,False
lead26@exemplo.com,Masculino,35 - 44,Superior completo,Mais de 10.000,CLT,Instagram,Iniciante (voltando),Não Fala Outro Idioma,Pessoal,Falta de prática / escuta,Não,1-3 meses,Sim,Não,L2-25,3667.17,B,True
lead27@exemplo.com,Feminino,25 - 34,Fundamental completo,De 2.500 a 5.000,Saúde,Facebook,Perdido,Não Fala Outro Idioma,Trabalho,Nada impede,Não,3-6 meses,Não,Sim,L2-25,3628.09,B,True
lead28@exemplo.com,Masculino,35 - 44,Superior incompleto,Não tenho renda.,Saúde,YouTube,Avançado,Outros,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,>6 meses,Sim,Não,L2-25,2097.88,D,False
lead29@exemplo.com,Feminino,25 - 34,Fundamental completo,Mais de 10.000,Administrativo,YouTube,Perdido,Inglês Intermediário ou Avançado,Viagem,Outros,Sim,1-3 meses,Sim,Não,L2-25,3519.14,B,True
lead30@exemplo.com,Feminino,+55,Fundamental completo,De 1.500 a 2.500,CLT,Não acompanhava,Intermediário,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Não,Não,L2-25,3356.05,C,False
lead31@exemplo.com,Masculino,44 - 55,Médio incompleto,Não tenho renda.,Saúde,Outros,Avançado,Inglês Intermediário ou Avançado,Trabalho,Nada impede,Não,>6 meses,Sim,Não,L2-25,2328.52,D,False
lead32@exemplo.com,Masculino,35 - 44,Fundamental completo,De 5.000 a 10.000,Vendas,YouTube,Avançado,Inglês Básico,Viagem,Falta de curso presencial / professor ao vivo,Não,>6 meses,Não,Sim,L2-25,2355.05,D,False
lead33@exemplo.com,Masculino,18 - 24,Médio completo,Mais de 10.000,Tecnologia,Facebook,Iniciante (voltando),Inglês Intermediário ou Avançado,Viagem,Outros,Não,<1 mês,Sim,Sim,L2-25,2919.45,C,False
lead34@exemplo.com,Feminino,25 - 34,Fundamental completo,Mais de 10.000,Saúde,Não acompanhava,Intermediário,Inglês Intermediário ou Avançado,Pessoal,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Não,Sim,L2-25,3353.4,C,False
lead35@exemplo.com,Masculino,44 - 55,Fundamental completo,De 5.000 a 10.000,CLT,Não acompanhava,Intermediário,Inglês Básico,Pessoal,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Sim,Sim,L2-25,2349.08,D,False
lead36@exemplo.com,Feminino,+55,Pós-graduação completa,Até 1.500,Docência,Instagram,Avançado,Não Fala Outro Idioma,Todas Alternativas Acima,Nada impede,Não,<1 mês,Não,Não,L2-25,3518.02,B,True
lead37@exemplo.com,Feminino,25 - 34,Fundamental completo,Mais de 10.000,Vendas,Não acompanhava,Avançado,Outros,Pessoal,Falta de curso presencial / professor ao vivo,Não,<1 mês,Não,Não,L2-25,3006.06,C,False
lead38@exemplo.com,Feminino,44 - 55,Pós-graduação completa,Não tenho renda.,Vendas,Não acompanhava,Perdido,Inglês Básico,Pessoal,Outros,Sim,>6 meses,Sim,Não,L2-25,2840.01,C,False
lead39@exemplo.com,Masculino,35 - 44,Médio incompleto,De 1.500 a 2.500,Tecnologia,YouTube,Iniciante (voltando),Inglês Básico,Viagem,Falta de disciplina / foco,Sim,<1 mês,Sim,Sim,L2-25,2138.97,D,False
lead40@exemplo.com,Masculino,35 - 44,Fundamental completo,De 2.500 a 5.000,Docência,Instagram,Intermediário,Inglês Básico,Viagem,Falta de disciplina / foco,Não,>6 meses,Não,Não,L2-25,2310.71,D,False
lead41@exemplo.com,Feminino,18 - 24,Pós-graduação completa,De 5.000 a 10.000,Vendas,Outros,Iniciante (voltando),Não Fala Outro Idioma,Trabalho,Outros,Sim,1-3 meses,Não,Não,L2-25,3894.76,B,True
lead42@exemplo.com,Feminino,+55,Superior incompleto,Não tenho renda.,Administrativo,YouTube,Iniciante (voltando),Inglês Básico,Pessoal,Falta de curso presencial / professor ao vivo,Não,>6 meses,Não,Não,L2-25,2404.91,D,False
lead43@exemplo.com,Masculino,35 - 44,Pós-graduação completa,De 2.500 a 5.000,CLT,Facebook,Perdido,Inglês Intermediário ou Avançado,Todas Alternativas Acima,Falta de prática / escuta,Sim,3-6 meses,Não,Sim,L2-25,2834.42,C,False
lead44@exemplo.com,Feminino,25 - 34,Médio incompleto,De 1.500 a 2.500,Docência,Não acompanhava,Iniciante (voltando),Outros,Intercâmbio,Nada impede,Não,>6 meses,Sim,Não,L2-25,2465.57,D,False
lead45@exemplo.com,Feminino,44 - 55,Superior completo,Mais de 10.000,Empreendedorismo,Não acompanhava,Intermediário,Não Fala Outro Idioma,Intercâmbio,Nada impede,Não,1-3 meses,Sim,Não,L2-25,3999.59,B,True
lead46@exemplo.com,Masculino,35 - 44,Superior incompleto,De 5.000 a 10.000,Vendas,Instagram,Avançado,Inglês Intermediário ou Avançado,Viagem,Nada impede,Não,3-6 meses,Sim,Não,L2-25,2651.71,C,False
lead47@exemplo.com,Masculino,44 - 55,Médio completo,De 5.000 a 10.000,Empreendedorismo,Instagram,Perdido,Inglês Básico,Intercâmbio,Outros,Sim,3-6 meses,Sim,Não,L2-25,2350.1,D,False
lead48@exemplo.com,Masculino,+55,Superior completo,De 2.500 a 5.000,Saúde,YouTube,Intermediário,Não Fala Outro Idioma,Intercâmbio,Falta de prática / escuta,Sim,<1 mês,Sim,Não,L2-25,3098.72,C,False
lead49@exemplo.com,Feminino,18 - 24,Pós-graduação completa,De 1.500 a 2.500,Saúde,YouTube,Perdido,Não Fala Outro Idioma,Todas Alternativas Acima,Nada impede,Sim,1-3 meses,Sim,Sim,L2-25,3544.16,B,True
lead50@exemplo.com,Masculino,18 - 24,Superior incompleto,Mais de 10.000,Tecnologia,Outros,Iniciante (voltando),Não Fala Outro Idioma,Intercâmbio,Falta de disciplina / foco,Sim,>6 meses,Não,Sim,L2-25,3394.89,C,False
lead51@exemplo.com,Feminino,+55,Médio incompleto,Mais de 10.000,Administrativo,Não acompanhava,Intermediário,Inglês Intermediário ou Avançado,Viagem,Outros,Sim,<1 mês,Não,Sim,L2-25,3141.89,C,False
lead52@exemplo.com,Masculino,35 - 44,Pós-graduação completa,Não tenho renda.,Outros,Facebook,Intermediário,Outros,Trabalho,Nada impede,Sim,<1 mês,Sim,Não,L2-25,2374.98,D,False
lead53@exemplo.com,Masculino,44 - 55,Superior incompleto,De 1.500 a 2.500,Administrativo,Facebook,Avançado,Não Fala Outro Idioma,Viagem,Outros,Sim,>6 meses,Não,Não,L2-25,2936.29,C,False
lead54@exemplo.com,Feminino,18 - 24,Pós-graduação completa,Mais de 10.000,Tecnologia,YouTube,Intermediário,Inglês Básico,Pessoal,Outros,Não,>6 meses,Sim,Sim,L2-25,3455.59,B,True
lead55@exemplo.com,Feminino,44 - 55,Superior incompleto,Mais de 10.000,Outros,Instagram,Iniciante (voltando),Inglês Básico,Intercâmbio,Nada impede,Não,>6 meses,Sim,Não,L2-25,3027.8,C,False
lead56@exemplo.com,Feminino,25 - 34,Fundamental completo,De 1.500 a 2.500,Administrativo,Facebook,Iniciante (voltando),Inglês Básico,Intercâmbio,Outros,Não,>6 meses,Não,Sim,L2-25,2641.79,D,False
lead57@exemplo.com,Feminino,+55,Médio incompleto,De 5.000 a 10.000,Docência,Não acompanhava,Perdido,Outros,Viagem,Falta de disciplina / foco,Não,3-6 meses,Não,Sim,L2-25,2542.66,D,False
lead58@exemplo.com,Masculino,18 - 24,Médio completo,Até 1.500,Administrativo,YouTube,Perdido,Não Fala Outro Idioma,Viagem,Nada impede,Não,3-6 meses,Sim,Não,L2-25,2731.29,C,False
lead59@exemplo.com,Masculino,35 - 44,Pós-graduação completa,De 5.000 a 10.000,Outros,Não acompanhava,Avançado,Inglês Intermediário ou Avançado,Trabalho,Outros,Sim,>6 meses,Sim,Não,L2-25,2876.53,C,False
lead60@exemplo.com,Masculino,44 - 55,Médio incompleto,Não tenho renda.,CLT,Facebook,Iniciante (voltando),Outros,Intercâmbio,Outros,Sim,>6 meses,Sim,Sim,L2-25,2030.31,D,False
lead61@exemplo.com,Masculino,44 - 55,Médio completo,Até 1.500,Empreendedorismo,YouTube,Iniciante (voltando),Não Fala Outro Idioma,Intercâmbio,Nada impede,Não,3-6 meses,Não,Sim,L2-25,2765.71,C,False
lead62@exemplo.com,Masculino,+55,Médio incompleto,Mais de 10.000,Tecnologia,Outros,Intermediário,Outros,Pessoal,Outros,Não,>6 meses,Sim,Sim,L2-25,2677.25,C,False
lead63@exemplo.com,Feminino,+55,Fundamental completo,De 1.500 a 2.500,CLT,Facebook,Avançado,Não Fala Outro Idioma,Viagem,Falta de prática / escuta,Não,3-6 meses,Sim,Sim,L2-25,3426.14,B,True
lead64@exemplo.com,Feminino,35 - 44,Fundamental completo,De 5.000 a 10.000,Outros,Não acompanhava,Perdido,Não Fala Outro Idioma,Viagem,Falta de disciplina / foco,Não,>6 meses,Não,Não,L2-25,3704.52,B,True
lead65@exemplo.com,Masculino,35 - 44,Superior completo,De 5.000 a 10.000,Empreendedorismo,Não acompanhava,Intermediário,Outros,Intercâmbio,Nada impede,Não,>6 meses,Sim,Sim,L2-25,2505.62,D,False
lead66@exemplo.com,Feminino,35 - 44,Médio completo,De 1.500 a 2.500,Vendas,Não acompanhava,Iniciante (voltando),Inglês Básico,Pessoal,Falta de curso presencial / professor ao vivo,Sim,1-3 meses,Sim,Sim,L2-25,2544.54,D,False
lead67@exemplo.com,Masculino,44 - 55,Médio completo,De 2.500 a 5.000,Saúde,Facebook,Avançado,Inglês Básico,Pessoal,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Não,Sim,L2-25,2233.06,D,False
lead68@exemplo.com,Masculino,+55,Fundamental completo,De 2.500 a 5.000,Administrativo,Instagram,Avançado,Outros,Viagem,Outros,Não,<1 mês,Não,Sim,L2-25,2162.25,D,False
lead69@exemplo.com,Masculino,18 - 24,Médio completo,Não tenho renda.,Saúde,YouTube,Perdido,Inglês Básico,Todas Alternativas Acima,Falta de prática / escuta,Sim,1-3 meses,Sim,Sim,L2-25,1963.21,D,False
lead70@exemplo.com,Masculino,35 - 44,Superior completo,De 5.000 a 10.000,Outros,YouTube,Intermediário,Inglês Básico,Pessoal,Falta de disciplina / foco,Sim,<1 mês,Sim,Não,L2-25,2575.16,D,False
lead71@exemplo.com,Masculino,44 - 55,Superior completo,Até 1.500,Vendas,YouTube,Avançado,Outros,Trabalho,Falta de prática / escuta,Não,3-6 meses,Não,Sim,L2-25,2081.01,D,False
lead72@exemplo.com,Masculino,35 - 44,Médio completo,Até 1.500,Administrativo,Não acompanhava,Perdido,Inglês Intermediário ou Avançado,Viagem,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Não,Não,L2-25,2319.66,D,False
lead73@exemplo.com,Feminino,35 - 44,Médio incompleto,Até 1.500,Saúde,YouTube,Perdido,Inglês Básico,Trabalho,Falta de curso presencial / professor ao vivo,Sim,>6 meses,Sim,Sim,L2-25,2411.42,D,False
lead74@exemplo.com,Masculino,+55,Médio incompleto,Não tenho renda.,Empreendedorismo,YouTube,Perdido,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de prática / escuta,Sim,3-6 meses,Não,Sim,L2-25,2732.49,C,False
lead75@exemplo.com,Masculino,35 - 44,Pós-graduação completa,Até 1.500,Tecnologia,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Pessoal,Outros,Não,3-6 meses,Sim,Sim,L2-25,2649.74,D,False
lead76@exemplo.com,Feminino,25 - 34,Médio incompleto,De 5.000 a 10.000,Tecnologia,Não acompanhava,Intermediário,Não Fala Outro Idioma,Pessoal,Falta de curso presencial / professor ao vivo,Não,>6 meses,Sim,Sim,L2-25,3773.61,B,True
lead77@exemplo.com,Masculino,44 - 55,Superior incompleto,Não tenho renda.,Administrativo,Instagram,Avançado,Outros,Viagem,Falta de disciplina / foco,Não,<1 mês,Não,Não,L2-25,2110.87,D,False
lead78@exemplo.com,Feminino,35 - 44,Médio completo,De 1.500 a 2.500,Vendas,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Intercâmbio,Outros,Sim,1-3 meses,Não,Sim,L2-25,2897.93,C,False
lead79@exemplo.com,Feminino,25 - 34,Pós-graduação completa,Não tenho renda.,Tecnologia,Não acompanhava,Avançado,Outros,Pessoal,Falta de disciplina / foco,Sim,1-3 meses,Sim,Sim,L2-25,2916.44,C,False
lead80@exemplo.com,Feminino,18 - 24,Médio completo,Mais de 10.000,Vendas,Outros,Intermediário,Inglês Básico,Viagem,Outros,Não,>6 meses,Não,Sim,L2-25,2923.47,C,False
lead81@exemplo.com,Masculino,44 - 55,Fundamental completo,Mais de 10.000,Tecnologia,YouTube,Perdido,Inglês Intermediário ou Avançado,Todas Alternativas Acima,Falta de disciplina / foco,Sim,1-3 meses,Sim,Não,L2-25,3012.52,C,False
lead82@exemplo.com,Feminino,44 - 55,Médio incompleto,De 2.500 a 5.000,Outros,Não acompanhava,Avançado,Outros,Trabalho,Outros,Sim,>6 meses,Não,Não,L2-25,2451.34,D,False
lead83@exemplo.com,Feminino,35 - 44,Superior incompleto,Não tenho renda.,Empreendedorismo,Facebook,Iniciante (voltando),Outros,Todas Alternativas Acima,Nada impede,Não,3-6 meses,Sim,Não,L2-25,2420.07,D,False
lead84@exemplo.com,Masculino,35 - 44,Superior incompleto,De 1.500 a 2.500,Vendas,Não acompanhava,Avançado,Outros,Intercâmbio,Outros,Sim,>6 meses,Não,Sim,L2-25,2068.68,D,False
lead85@exemplo.com,Feminino,44 - 55,Fundamental completo,De 1.500 a 2.500,Empreendedorismo,Facebook,Iniciante (voltando),Não Fala Outro Idioma,Intercâmbio,Outros,Sim,1-3 meses,Sim,Não,L2-25,3467.19,B,True
lead86@exemplo.com,Feminino,18 - 24,Pós-graduação completa,De 5.000 a 10.000,Empreendedorismo,Não acompanhava,Avançado,Outros,Pessoal,Nada impede,Não,<1 mês,Sim,Não,L2-25,2746.49,C,False
lead87@exemplo.com,Masculino,44 - 55,Fundamental completo,Mais de 10.000,Tecnologia,YouTube,Iniciante (voltando),Não Fala Outro Idioma,Viagem,Nada impede,Sim,3-6 meses,Não,Não,L2-25,3556.22,B,True
lead88@exemplo.com,Feminino,18 - 24,Fundamental completo,De 1.500 a 2.500,Administrativo,Não acompanhava,Avançado,Não Fala Outro Idioma,Intercâmbio,Falta de prática / escuta,Sim,>6 meses,Não,Não,L2-25,3003.74,C,False
lead89@exemplo.com,Feminino,25 - 34,Superior completo,De 5.000 a 10.000,Outros,Outros,Avançado,Inglês Básico,Trabalho,Falta de curso presencial / professor ao vivo,Não,<1 mês,Sim,Não,L2-25,2905.83,C,False
lead90@exemplo.com,Masculino,18 - 24,Superior incompleto,De 5.000 a 10.000,Vendas,Outros,Perdido,Outros,Trabalho,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Sim,Não,L2-25,2237.76,D,False
lead91@exemplo.com,Masculino,18 - 24,Médio completo,De 2.500 a 5.000,Tecnologia,Não acompanhava,Intermediário,Inglês Intermediário ou Avançado,Todas Alternativas Acima,Nada impede,Sim,<1 mês,Sim,Sim,L2-25,2061.49,D,False
lead92@exemplo.com,Masculino,35 - 44,Fundamental completo,De 1.500 a 2.500,Administrativo,Não acompanhava,Intermediário,Inglês Intermediário ou Avançado,Viagem,Outros,Não,3-6 meses,Sim,Não,L2-25,2446.83,D,False
lead93@exemplo.com,Masculino,35 - 44,Pós-graduação completa,De 5.000 a 10.000,Outros,Não acompanhava,Perdido,Outros,Todas Alternativas Acima,Falta de disciplina / foco,Não,<1 mês,Não,Sim,L2-25,2664.95,C,False
lead94@exemplo.com,Feminino,25 - 34,Médio completo,De 5.000 a 10.000,Empreendedorismo,Facebook,Perdido,Outros,Viagem,Nada impede,Não,>6 meses,Não,Não,L2-25,2824.74,C,False
lead95@exemplo.com,Feminino,18 - 24,Superior incompleto,De 2.500 a 5.000,Empreendedorismo,Outros,Intermediário,Inglês Básico,Pessoal,Outros,Não,3-6 meses,Sim,Não,L2-25,2635.91,D,False
lead96@exemplo.com,Feminino,35 - 44,Superior completo,Mais de 10.000,Saúde,Não acompanhava,Perdido,Inglês Intermediário ou Avançado,Intercâmbio,Falta de curso presencial / professor ao vivo,Não,<1 mês,Sim,Sim,L2-25,3399.26,C,False
lead97@exemplo.com,Feminino,25 - 34,Superior completo,Mais de 10.000,Vendas,Não acompanhava,Intermediário,Não Fala Outro Idioma,Viagem,Falta de disciplina / foco,Não,3-6 meses,Sim,Não,L2-25,4089.86,B,True
lead98@exemplo.com,Feminino,18 - 24,Pós-graduação completa,De 5.000 a 10.000,Administrativo,Facebook,Avançado,Inglês Básico,Viagem,Nada impede,Não,>6 meses,Sim,Não,L2-25,3130.22,C,False
lead99@exemplo.com,Masculino,+55,Superior incompleto,Até 1.500,CLT,Não acompanhava,Avançado,Não Fala Outro Idioma,Trabalho,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Sim,Não,L2-25,2601.27,D,False
lead100@exemplo.com,Masculino,18 - 24,Pós-graduação completa,De 2.500 a 5.000,Saúde,Não acompanhava,Intermediário,Inglês Intermediário ou Avançado,Todas Alternativas Acima,Falta de prática / escuta,Sim,<1 mês,Não,Não,L2-25,2385.12,D,False
lead101@exemplo.com,Masculino,18 - 24,Pós-graduação completa,De 1.500 a 2.500,Saúde,Instagram,Avançado,Outros,Trabalho,Falta de prática / escuta,Sim,>6 meses,Não,Sim,L2-25,2379.61,D,False
lead102@exemplo.com,Masculino,35 - 44,Fundamental completo,Mais de 10.000,Empreendedorismo,Outros,Iniciante (voltando),Inglês Intermediário ou Avançado,Todas Alternativas Acima,Falta de disciplina / foco,Não,1-3 meses,Sim,Não,L2-25,3054.14,C,False
lead103@exemplo.com,Feminino,44 - 55,Superior incompleto,Mais de 10.000,Saúde,Instagram,Avançado,Outros,Pessoal,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Não,Não,L2-25,2991.22,C,False
lead104@exemplo.com,Masculino,25 - 34,Superior incompleto,Não tenho renda.,Empreendedorismo,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Viagem,Falta de disciplina / foco,Sim,1-3 meses,Sim,Sim,L2-25,2431.36,D,False
lead105@exemplo.com,Feminino,18 - 24,Médio incompleto,De 1.500 a 2.500,Empreendedorismo,YouTube,Perdido,Não Fala Outro Idioma,Trabalho,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Não,Sim,L2-25,3200.54,C,False
lead106@exemplo.com,Feminino,25 - 34,Médio incompleto,De 2.500 a 5.000,CLT,Outros,Intermediário,Inglês Básico,Viagem,Falta de disciplina / foco,Sim,1-3 meses,Não,Não,L2-25,2700.4,C,False
lead107@exemplo.com,Masculino,+55,Pós-graduação completa,Até 1.500,Docência,Outros,Intermediário,Inglês Básico,Trabalho,Outros,Não,1-3 meses,Não,Não,L2-25,2228.46,D,False
lead108@exemplo.com,Masculino,+55,Médio incompleto,Mais de 10.000,Tecnologia,Não acompanhava,Perdido,Outros,Trabalho,Nada impede,Sim,3-6 meses,Sim,Sim,L2-25,2542.73,D,False
lead109@exemplo.com,Masculino,35 - 44,Médio completo,Até 1.500,Outros,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Intercâmbio,Falta de prática / escuta,Sim,1-3 meses,Sim,Não,L2-25,2313.32,D,False
lead110@exemplo.com,Feminino,25 - 34,Fundamental completo,De 2.500 a 5.000,Administrativo,Não acompanhava,Avançado,Inglês Intermediário ou Avançado,Intercâmbio,Nada impede,Não,<1 mês,Sim,Não,L2-25,2894.33,C,False
lead111@exemplo.com,Feminino,18 - 24,Superior incompleto,De 2.500 a 5.000,Docência,Outros,Intermediário,Outros,Pessoal,Falta de disciplina / foco,Não,3-6 meses,Sim,Sim,L2-25,2654.27,C,False
lead112@exemplo.com,Feminino,+55,Superior incompleto,Até 1.500,Vendas,YouTube,Intermediário,Outros,Viagem,Outros,Sim,>6 meses,Não,Não,L2-25,2458.8,D,False
lead113@exemplo.com,Feminino,18 - 24,Pós-graduação completa,Até 1.500,Administrativo,Não acompanhava,Intermediário,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Não,Sim,L2-25,3235.96,C,False
lead114@exemplo.com,Feminino,25 - 34,Pós-graduação completa,De 1.500 a 2.500,Outros,Facebook,Perdido,Não Fala Outro Idioma,Viagem,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Sim,Sim,L2-25,3705.13,B,True
lead115@exemplo.com,Feminino,44 - 55,Médio incompleto,De 2.500 a 5.000,Administrativo,YouTube,Intermediário,Outros,Viagem,Falta de disciplina / foco,Não,3-6 meses,Sim,Não,L2-25,2723.2,C,False
lead116@exemplo.com,Masculino,25 - 34,Pós-graduação completa,Mais de 10.000,Vendas,Não acompanhava,Avançado,Outros,Viagem,Nada impede,Sim,<1 mês,Não,Não,L2-25,3029.81,C,False
lead117@exemplo.com,Masculino,+55,Médio completo,Mais de 10.000,Vendas,Não acompanhava,Avançado,Outros,Pessoal,Falta de disciplina / foco,Sim,<1 mês,Sim,Não,L2-25,2558.38,D,False
