email,genero,faixa_etaria,escolaridade_categoria,renda_media,profissao_categoria,onde_acompanha_conteudo,nivel_idioma,fala_outro_idioma_categoria,motivo_fluencia_espanhol_categoria,problema_aprender_categoria,investir_portal_vhe,tempo_antes_redes_sociais,fez_curso_espanhol,ouviu_falar_portal_vhe
lead17@exemplo.com,Feminino,+55,Pós,<2k,CLT,YouTube,Iniciante,Sim,Viagem,Falta de disciplina,Não,<1 mês,Sim,Sim
lead18@exemplo.com,Feminino,45-54,Médio,+10k,Desempregado,LinkedIn,Intermediário,Não,Trabalho,Nenhum,Não,3-6 meses,Sim,Sim
lead19@exemplo.com,Masculino,25-34,Pós,5k-10k,CLT,YouTube,Intermediário,Sim,Pessoal,Nenhum,Sim,>6 meses,Sim,Sim
lead20@exemplo.com,Feminino,18-24,Pós,5k-10k,Estudante,Facebook,Intermediário,Sim,Viagem,Falta de disciplina,Sim,>6 meses,Sim,Sim
lead21@exemplo.com,Masculino,35-44,Pós,5k-10k,Desempregado,Facebook,Intermediário,Sim,Pessoal,Falta de tempo,Sim,<1 mês,Não,Sim
lead22@exemplo.com,Feminino,25-34,Fundamental,<2k,CLT,Instagram,Iniciante,Sim,Viagem,Falta de tempo,Não,>6 meses,Não,Não
lead23@exemplo.com,Feminino,35-44,Médio,5k-10k,CLT,Instagram,Avançado,Sim,Trabalho,Falta de tempo,Sim,1-3 meses,Não,Não
lead24@exemplo.com,Feminino,45-54,Médio,2k-5k,Empreendedor,YouTube,Iniciante,Não,Viagem,Falta de tempo,Sim,>6 meses,Sim,Sim
lead25@exemplo.com,Feminino,+55,Fundamental,<2k,Desempregado,YouTube,Avançado,Não,Viagem,Nenhum,Sim,>6 meses,Sim,Sim
lead26@exemplo.com,Feminino,25-34,Superior,5k-10k,Estudante,YouTube,Intermediário,Não,Pessoal,Falta de tempo,Não,3-6 meses,Sim,Sim
lead27@exemplo.com,Feminino,25-34,Pós,+10k,Estudante,Facebook,Intermediário,Sim,Viagem,Falta de tempo,Não,>6 meses,Não,Não
lead28@exemplo.com,Feminino,45-54,Médio,<2k,Desempregado,YouTube,Avançado,Sim,Pessoal,Nenhum,Não,<1 mês,Sim,Sim
lead29@exemplo.com,Feminino,18-24,Fundamental,2k-5k,Desempregado,LinkedIn,Intermediário,Sim,Viagem,Nenhum,Sim,>6 meses,Não,Sim
lead30@exemplo.com,Masculino,+55,Pós,2k-5k,CLT,LinkedIn,Iniciante,Sim,Trabalho,Falta de disciplina,Não,>6 meses,Sim,Sim
lead31@exemplo.com,Masculino,25-34,Superior,+10k,Empreendedor,Facebook,Intermediário,Sim,Viagem,Nenhum,Não,<1 mês,Não,Sim
lead32@exemplo.com,Feminino,+55,Superior,+10k,Empreendedor,YouTube,Intermediário,Não,Pessoal,Falta de disciplina,Não,<1 mês,Não,Não
lead33@exemplo.com,Feminino,25-34,Pós,<2k,Empreendedor,YouTube,Intermediário,Não,Viagem,Falta de disciplina,Não,3-6 meses,Não,Sim
lead34@exemplo.com,Feminino,+55,Superior,<2k,Desempregado,Instagram,Intermediário,Não,Viagem,Falta de tempo,Não,1-3 meses,Sim,Não
lead35@exemplo.com,Masculino,35-44,Médio,2k-5k,Empreendedor,LinkedIn,Iniciante,Sim,Trabalho,Falta de tempo,Sim,>6 meses,Sim,Não
lead36@exemplo.com,Feminino,25-34,Médio,+10k,CLT,Facebook,Avançado,Não,Pessoal,Falta de tempo,Sim,1-3 meses,Sim,Não
lead37@exemplo.com,Masculino,+55,Médio,<2k,Desempregado,YouTube,Intermediário,Não,Trabalho,Nenhum,Sim,3-6 meses,Sim,Sim
lead38@exemplo.com,Masculino,18-24,Superior,2k-5k,Desempregado,Instagram,Intermediário,Não,Viagem,Nenhum,Sim,<1 mês,Não,Não
lead39@exemplo.com,Masculino,35-44,Médio,+10k,Empreendedor,Facebook,Iniciante,Não,Trabalho,Falta de tempo,Sim,<1 mês,Não,Sim
lead40@exemplo.com,Masculino,35-44,Fundamental,2k-5k,Estudante,Facebook,Iniciante,Sim,Viagem,Falta de tempo,Não,<1 mês,Sim,Sim
lead41@exemplo.com,Masculino,18-24,Médio,5k-10k,Estudante,LinkedIn,Iniciante,Sim,Viagem,Nenhum,Não,3-6 meses,Sim,Sim
lead42@exemplo.com,Feminino,+55,Médio,+10k,CLT,YouTube,Intermediário,Não,Trabalho,Falta de disciplina,Sim,>6 meses,Sim,Sim
lead43@exemplo.com,Feminino,45-54,Superior,<2k,Empreendedor,Facebook,Avançado,Não,Trabalho,Falta de disciplina,Não,3-6 meses,Sim,Sim
lead44@exemplo.com,Feminino,18-24,Médio,<2k,Empreendedor,Instagram,Iniciante,Não,Viagem,Falta de tempo,Sim,<1 mês,Não,Sim
lead45@exemplo.com,Feminino,+55,Pós,5k-10k,Desempregado,Instagram,Iniciante,Não,Trabalho,Falta de tempo,Sim,>6 meses,Sim,Sim
lead46@exemplo.com,Feminino,18-24,Fundamental,+10k,Desempregado,Facebook,Iniciante,Não,Trabalho,Falta de tempo,Não,<1 mês,Não,Sim
lead47@exemplo.com,Masculino,18-24,Superior,2k-5k,Empreendedor,Instagram,Avançado,Não,Viagem,Falta de disciplina,Sim,<1 mês,Não,Não
lead48@exemplo.com,Feminino,25-34,Fundamental,<2k,Desempregado,Facebook,Intermediário,Não,Pessoal,Falta de tempo,Não,3-6 meses,Não,Sim
lead49@exemplo.com,Feminino,+55,Pós,5k-10k,Empreendedor,Instagram,Intermediário,Não,Trabalho,Falta de disciplina,Sim,3-6 meses,Sim,Não
lead50@exemplo.com,Masculino,45-54,Superior,5k-10k,CLT,Facebook,Intermediário,Não,Trabalho,Nenhum,Não,1-3 meses,Sim,Sim
lead51@exemplo.com,Feminino,25-34,Superior,+10k,Desempregado,Facebook,Iniciante,Sim,Pessoal,Nenhum,Não,<1 mês,Sim,Não
lead52@exemplo.com,Masculino,18-24,Médio,+10k,Empreendedor,Facebook,Intermediário,Não,Trabalho,Nenhum,Não,>6 meses,Sim,Não
lead53@exemplo.com,Feminino,18-24,Fundamental,<2k,Desempregado,Instagram,Iniciante,Sim,Viagem,Falta de tempo,Não,<1 mês,Não,Sim
lead54@exemplo.com,Masculino,18-24,Pós,5k-10k,CLT,Facebook,Avançado,Sim,Trabalho,Nenhum,Não,>6 meses,Sim,Não
lead55@exemplo.com,Feminino,+55,Pós,2k-5k,Desempregado,LinkedIn,Avançado,Não,Viagem,Falta de disciplina,Não,1-3 meses,Não,Sim
lead56@exemplo.com,Feminino,+55,Superior,5k-10k,Empreendedor,Facebook,Intermediário,Não,Pessoal,Falta de disciplina,Sim,<1 mês,Sim,Não
lead57@exemplo.com,Masculino,25-34,Médio,2k-5k,Desempregado,YouTube,Iniciante,Sim,Pessoal,Falta de disciplina,Sim,>6 meses,Não,Sim
lead58@exemplo.com,Masculino,45-54,Superior,2k-5k,Desempregado,YouTube,Iniciante,Sim,Pessoal,Falta de tempo,Não,>6 meses,Não,Não
lead59@exemplo.com,Masculino,25-34,Superior,<2k,Empreendedor,LinkedIn,Intermediário,Não,Trabalho,Falta de tempo,Não,1-3 meses,Não,Não
lead60@exemplo.com,Masculino,35-44,Superior,5k-10k,Estudante,Facebook,Avançado,Sim,Pessoal,Falta de disciplina,Sim,3-6 meses,Sim,Sim
lead61@exemplo.com,Masculino,18-24,Superior,2k-5k,Desempregado,YouTube,Avançado,Não,Trabalho,Falta de disciplina,Sim,1-3 meses,Não,Não
lead62@exemplo.com,Masculino,18-24,Pós,+10k,Desempregado,Facebook,Avançado,Não,Trabalho,Falta de disciplina,Sim,>6 meses,Não,Sim
lead63@exemplo.com,Masculino,18-24,Pós,2k-5k,CLT,YouTube,Avançado,Sim,Trabalho,Falta de disciplina,Sim,1-3 meses,Sim,Sim
lead64@exemplo.com,Masculino,25-34,Superior,+10k,Estudante,Instagram,Avançado,Não,Pessoal,Nenhum,Sim,3-6 meses,Não,Não
lead65@exemplo.com,Feminino,25-34,Superior,+10k,CLT,Instagram,Intermediário,Sim,Pessoal,Falta de disciplina,Não,<1 mês,Sim,Não
lead66@exemplo.com,Feminino,18-24,Médio,5k-10k,Empreendedor,LinkedIn,Intermediário,Não,Trabalho,Falta de tempo,Sim,1-3 meses,Sim,Não
lead67@exemplo.com,Masculino,25-34,Superior,+10k,Empreendedor,LinkedIn,Intermediário,Não,Pessoal,Falta de tempo,Sim,1-3 meses,Não,Sim
lead68@exemplo.com,Feminino,+55,Pós,2k-5k,CLT,Facebook,Avançado,Sim,Trabalho,Falta de tempo,Sim,<1 mês,Não,Sim
lead69@exemplo.com,Feminino,+55,Fundamental,+10k,Desempregado,LinkedIn,Avançado,Sim,Pessoal,Falta de tempo,Não,1-3 meses,Sim,Sim
lead70@exemplo.com,Feminino,25-34,Pós,5k-10k,Estudante,Facebook,Intermediário,Não,Viagem,Falta de tempo,Sim,3-6 meses,Não,Sim
lead71@exemplo.com,Feminino,18-24,Médio,<2k,CLT,Instagram,Intermediário,Não,Pessoal,Falta de disciplina,Sim,>6 meses,Sim,Não
lead72@exemplo.com,Masculino,25-34,Pós,2k-5k,CLT,Instagram,Avançado,Sim,Pessoal,Falta de disciplina,Não,1-3 meses,Sim,Sim
lead73@exemplo.com,Feminino,25-34,Fundamental,2k-5k,Empreendedor,YouTube,Iniciante,Não,Pessoal,Nenhum,Não,<1 mês,Não,Sim
lead74@exemplo.com,Masculino,25-34,Superior,5k-10k,Desempregado,Facebook,Intermediário,Sim,Trabalho,Nenhum,Sim,<1 mês,Sim,Não
lead75@exemplo.com,Feminino,35-44,Fundamental,5k-10k,Estudante,Instagram,Avançado,Sim,Trabalho,Nenhum,Não,1-3 meses,Não,Não
lead76@exemplo.com,Feminino,+55,Superior,5k-10k,CLT,Instagram,Avançado,Sim,Viagem,Falta de disciplina,Sim,<1 mês,Não,Não
lead77@exemplo.com,Feminino,45-54,Superior,5k-10k,Estudante,Facebook,Intermediário,Não,Viagem,Nenhum,Sim,>6 meses,Sim,Sim
lead78@exemplo.com,Masculino,45-54,Pós,2k-5k,Estudante,YouTube,Iniciante,Sim,Viagem,Falta de disciplina,Não,>6 meses,Não,Não
lead79@exemplo.com,Feminino,35-44,Pós,<2k,CLT,YouTube,Avançado,Não,Trabalho,Falta de tempo,Sim,<1 mês,Não,Não
lead80@exemplo.com,Masculino,25-34,Pós,+10k,Estudante,YouTube,Intermediário,Sim,Viagem,Falta de disciplina,Não,1-3 meses,Não,Sim
lead81@exemplo.com,Feminino,35-44,Médio,+10k,Empreendedor,YouTube,Avançado,Não,Viagem,Falta de disciplina,Não,1-3 meses,Não,Sim
lead82@exemplo.com,Masculino,35-44,Pós,<2k,Desempregado,Instagram,Avançado,Não,Pessoal,Falta de tempo,Não,<1 mês,Não,Sim
lead83@exemplo.com,Feminino,18-24,Médio,<2k,Desempregado,Facebook,Avançado,Sim,Viagem,Falta de tempo,Não,>6 meses,Não,Sim
lead84@exemplo.com,Masculino,+55,Pós,<2k,Desempregado,Facebook,Avançado,Sim,Pessoal,Falta de tempo,Sim,>6 meses,Sim,Não
lead85@exemplo.com,Masculino,45-54,Superior,5k-10k,Empreendedor,Instagram,Iniciante,Sim,Trabalho,Nenhum,Sim,1-3 meses,Não,Sim
lead86@exemplo.com,Feminino,25-34,Médio,2k-5k,Empreendedor,Instagram,Intermediário,Não,Trabalho,Nenhum,Sim,>6 meses,Sim,Não
lead87@exemplo.com,Masculino,45-54,Fundamental,2k-5k,Empreendedor,Instagram,Intermediário,Não,Pessoal,Nenhum,Não,3-6 meses,Sim,Não
lead88@exemplo.com,Feminino,45-54,Médio,2k-5k,Desempregado,LinkedIn,Intermediário,Não,Viagem,Falta de tempo,Sim,>6 meses,Não,Sim
lead89@exemplo.com,Feminino,+55,Médio,5k-10k,Estudante,Facebook,Intermediário,Sim,Trabalho,Nenhum,Não,1-3 meses,Não,Sim
lead90@exemplo.com,Feminino,45-54,Fundamental,2k-5k,Empreendedor,Facebook,Intermediário,Sim,Pessoal,Falta de tempo,Sim,>6 meses,Sim,Sim
lead91@exemplo.com,Feminino,45-54,Médio,5k-10k,CLT,Facebook,Iniciante,Sim,Trabalho,Falta de tempo,Não,>6 meses,Sim,Sim
lead92@exemplo.com,Feminino,35-44,Superior,2k-5k,Empreendedor,YouTube,Avançado,Sim,Trabalho,Falta de tempo,Sim,<1 mês,Não,Não
lead93@exemplo.com,Feminino,+55,Pós,<2k,CLT,Instagram,Avançado,Sim,Viagem,Nenhum,Sim,3-6 meses,Sim,Sim
lead94@exemplo.com,Feminino,18-24,Fundamental,+10k,Desempregado,Instagram,Intermediário,Não,Trabalho,Nenhum,Não,<1 mês,Sim,Sim
lead95@exemplo.com,Feminino,25-34,Pós,+10k,CLT,Instagram,Avançado,Sim,Pessoal,Falta de tempo,Sim,>6 meses,Não,Não
lead96@exemplo.com,Feminino,45-54,Superior,5k-10k,Empreendedor,LinkedIn,Avançado,Não,Viagem,Nenhum,Não,>6 meses,Sim,Não
lead97@exemplo.com,Feminino,25-34,Fundamental,2k-5k,Empreendedor,Facebook,Avançado,Sim,Pessoal,Falta de disciplina,Não,<1 mês,Sim,Não
lead98@exemplo.com,Feminino,18-24,Pós,+10k,Estudante,Instagram,Intermediário,Sim,Pessoal,Nenhum,Sim,3-6 meses,Não,Sim
lead99@exemplo.com,Masculino,25-34,Pós,<2k,Desempregado,LinkedIn,Intermediário,Sim,Pessoal,Falta de tempo,Sim,1-3 meses,Não,Não
lead100@exemplo.com,Masculino,18-24,Superior,<2k,CLT,Instagram,Iniciante,Sim,Viagem,Falta de tempo,Sim,<1 mês,Não,Não
lead101@exemplo.com,Feminino,35-44,Pós,<2k,Desempregado,YouTube,Intermediário,Sim,Trabalho,Falta de tempo,Não,>6 meses,Não,Não
lead102@exemplo.com,Feminino,45-54,Superior,5k-10k,Empreendedor,Facebook,Iniciante,Não,Pessoal,Falta de disciplina,Não,>6 meses,Sim,Sim
lead103@exemplo.com,Feminino,18-24,Médio,5k-10k,Estudante,LinkedIn,Intermediário,Sim,Trabalho,Falta de tempo,Não,1-3 meses,Sim,Não
lead104@exemplo.com,Feminino,25-34,Superior,2k-5k,Empreendedor,Instagram,Avançado,Não,Trabalho,Falta de tempo,Não,>6 meses,Sim,Sim
lead105@exemplo.com,Feminino,45-54,Médio,<2k,Empreendedor,Facebook,Iniciante,Não,Pessoal,Nenhum,Não,>6 meses,Sim,Não
lead106@exemplo.com,Feminino,35-44,Fundamental,2k-5k,Empreendedor,LinkedIn,Iniciante,Não,Trabalho,Falta de disciplina,Não,1-3 meses,Sim,Não
lead107@exemplo.com,Feminino,45-54,Pós,2k-5k,CLT,Facebook,Iniciante,Não,Viagem,Nenhum,Não,>6 meses,Não,Não
lead108@exemplo.com,Feminino,18-24,Superior,<2k,Empreendedor,Facebook,Intermediário,Sim,Viagem,Falta de tempo,Não,>6 meses,Sim,Não
lead109@exemplo.com,Masculino,35-44,Superior,2k-5k,Desempregado,YouTube,Iniciante,Sim,Trabalho,Falta de tempo,Não,3-6 meses,Sim,Não
lead110@exemplo.com,Feminino,25-34,Pós,+10k,Desempregado,Facebook,Intermediário,Sim,Trabalho,Falta de disciplina,Sim,<1 mês,Não,Não
lead111@exemplo.com,Masculino,35-44,Pós,5k-10k,Estudante,LinkedIn,Iniciante,Sim,Viagem,Falta de tempo,Não,3-6 meses,Sim,Sim
lead112@exemplo.com,Feminino,35-44,Fundamental,2k-5k,Desempregado,Facebook,Intermediário,Sim,Trabalho,Falta de disciplina,Não,3-6 meses,Sim,Sim
lead113@exemplo.com,Feminino,+55,Fundamental,<2k,Empreendedor,LinkedIn,Iniciante,Não,Trabalho,Nenhum,Sim,>6 meses,Não,Sim
lead114@exemplo.com,Masculino,35-44,Superior,5k-10k,Empreendedor,Facebook,Avançado,Sim,Trabalho,Falta de disciplina,Sim,<1 mês,Não,Não
lead115@exemplo.com,Feminino,35-44,Fundamental,5k-10k,Desempregado,Instagram,Avançado,Sim,Trabalho,Nenhum,Não,<1 mês,Sim,Sim
lead116@exemplo.com,Masculino,45-54,Médio,2k-5k,Estudante,YouTube,Iniciante,Não,Pessoal,Falta de tempo,Sim,>6 meses,Não,Não
lead117@exemplo.com,Feminino,25-34,Fundamental,+10k,Estudante,Instagram,Intermediário,Sim,Trabalho,Nenhum,Sim,3-6 meses,Sim,Sim
lead118@exemplo.com,Feminino,45-54,Fundamental,2k-5k,Desempregado,YouTube,Intermediário,Sim,Viagem,Nenhum,Não,3-6 meses,Sim,Não
lead119@exemplo.com,Masculino,45-54,Superior,+10k,CLT,LinkedIn,Intermediário,Não,Pessoal,Nenhum,Não,3-6 meses,Não,Sim
lead120@exemplo.com,Feminino,18-24,Médio,5k-10k,CLT,YouTube,Avançado,Sim,Pessoal,Falta de disciplina,Sim,<1 mês,Sim,Não
lead121@exemplo.com,Masculino,45-54,Fundamental,2k-5k,CLT,Facebook,Avançado,Não,Viagem,Nenhum,Não,>6 meses,Não,Não
lead122@exemplo.com,Feminino,+55,Médio,<2k,CLT,Facebook,Avançado,Não,Trabalho,Falta de disciplina,Sim,<1 mês,Não,Sim
lead123@exemplo.com,Masculino,+55,Médio,2k-5k,Desempregado,Instagram,Intermediário,Sim,Pessoal,Falta de disciplina,Não,3-6 meses,Sim,Não
lead124@exemplo.com,Masculino,18-24,Médio,+10k,Estudante,YouTube,Intermediário,Não,Pessoal,Falta de disciplina,Não,<1 mês,Sim,Sim
lead125@exemplo.com,Feminino,25-34,Pós,+10k,Empreendedor,LinkedIn,Intermediário,Sim,Trabalho,Falta de tempo,Sim,<1 mês,Não,Sim
lead126@exemplo.com,Feminino,25-34,Pós,2k-5k,Empreendedor,LinkedIn,Iniciante,Sim,Trabalho,Falta de tempo,Sim,>6 meses,Não,Sim
lead127@exemplo.com,Masculino,45-54,Pós,+10k,Desempregado,Facebook,Iniciante,Sim,Viagem,Falta de tempo,Sim,>6 meses,Não,Sim
lead128@exemplo.com,Feminino,45-54,Pós,5k-10k,Empreendedor,LinkedIn,Iniciante,Não,Pessoal,Falta de disciplina,Sim,<1 mês,Não,Não
lead129@exemplo.com,Feminino,45-54,Superior,2k-5k,CLT,Facebook,Avançado,Não,Trabalho,Falta de tempo,Sim,1-3 meses,Sim,Sim
lead130@exemplo.com,Feminino,25-34,Fundamental,+10k,Estudante,Facebook,Avançado,Não,Trabalho,Nenhum,Não,>6 meses,Não,Não
lead131@exemplo.com,Masculino,35-44,Pós,2k-5k,Desempregado,Facebook,Intermediário,Não,Viagem,Falta de disciplina,Não,1-3 meses,Sim,Não
lead132@exemplo.com,Masculino,+55,Superior,2k-5k,Estudante,Instagram,Iniciante,Não,Pessoal,Falta de tempo,Sim,>6 meses,Não,Não
lead133@exemplo.com,Masculino,35-44,Fundamental,<2k,Desempregado,Instagram,Intermediário,Não,Trabalho,Falta de disciplina,Sim,3-6 meses,Não,Sim
lead134@exemplo.com,Masculino,35-44,Pós,2k-5k,Desempregado,Facebook,Iniciante,Não,Viagem,Falta de tempo,Sim,1-3 meses,Sim,Não
lead135@exemplo.com,Masculino,25-34,Fundamental,<2k,Desempregado,Facebook,Iniciante,Não,Pessoal,Nenhum,Não,3-6 meses,Sim,Não
lead136@exemplo.com,Masculino,35-44,Pós,+10k,Desempregado,Facebook,Intermediário,Não,Pessoal,Falta de disciplina,Não,3-6 meses,Não,Sim
lead137@exemplo.com,Masculino,18-24,Superior,<2k,Estudante,LinkedIn,Intermediário,Não,Pessoal,Falta de tempo,Sim,<1 mês,Sim,Não
lead138@exemplo.com,Masculino,45-54,Médio,<2k,Empreendedor,Facebook,Iniciante,Não,Pessoal,Falta de tempo,Não,3-6 meses,Sim,Não
lead139@exemplo.com,Masculino,18-24,Médio,<2k,Desempregado,Facebook,Iniciante,Sim,Viagem,Nenhum,Não,3-6 meses,Sim,Não
lead140@exemplo.com,Feminino,+55,Fundamental,5k-10k,CLT,YouTube,Avançado,Não,Trabalho,Nenhum,Sim,3-6 meses,Sim,Não
lead141@exemplo.com,Masculino,45-54,Superior,<2k,Desempregado,YouTube,Intermediário,Sim,Pessoal,Falta de tempo,Sim,3-6 meses,Não,Não
lead142@exemplo.com,Feminino,35-44,Médio,2k-5k,Estudante,YouTube,Intermediário,Sim,Pessoal,Falta de tempo,Não,<1 mês,Sim,Sim
lead143@exemplo.com,Feminino,+55,Pós,<2k,Desempregado,YouTube,Intermediário,Sim,Trabalho,Falta de disciplina,Não,<1 mês,Não,Sim
lead144@exemplo.com,Feminino,45-54,Médio,2k-5k,CLT,Facebook,Intermediário,Sim,Pessoal,Falta de disciplina,Não,3-6 meses,Não,Sim
lead145@exemplo.com,Masculino,35-44,Fundamental,<2k,Estudante,YouTube,Iniciante,Não,Pessoal,Falta de tempo,Não,1-3 meses,Não,Sim
lead146@exemplo.com,Masculino,18-24,Fundamental,5k-10k,Desempregado,LinkedIn,Avançado,Sim,Trabalho,Nenhum,Não,>6 meses,Não,Sim
lead147@exemplo.com,Masculino,45-54,Superior,+10k,CLT,LinkedIn,Intermediário,Sim,Trabalho,Falta de disciplina,Sim,1-3 meses,Sim,Não
lead148@exemplo.com,Masculino,35-44,Fundamental,<2k,Estudante,YouTube,Iniciante,Sim,Pessoal,Falta de tempo,Não,3-6 meses,Não,Sim
lead149@exemplo.com,Feminino,18-24,Médio,<2k,Desempregado,Instagram,Iniciante,Não,Trabalho,Nenhum,Sim,<1 mês,Não,Não
lead150@exemplo.com,Masculino,+55,Médio,5k-10k,CLT,LinkedIn,Iniciante,Sim,Viagem,Nenhum,Sim,3-6 meses,Sim,Não
lead151@exemplo.com,Masculino,+55,Médio,<2k,Estudante,LinkedIn,Iniciante,Sim,Viagem,Falta de tempo,Não,3-6 meses,Sim,Sim
lead152@exemplo.com,Masculino,+55,Médio,2k-5k,Desempregado,YouTube,Iniciante,Não,Pessoal,Falta de tempo,Sim,<1 mês,Sim,Sim
lead153@exemplo.com,Masculino,+55,Superior,<2k,Estudante,YouTube,Intermediário,Não,Pessoal,Falta de disciplina,Não,1-3 meses,Não,Não
lead154@exemplo.com,Masculino,25-34,Pós,<2k,CLT,Facebook,Intermediário,Não,Trabalho,Falta de tempo,Sim,>6 meses,Sim,Não
lead155@exemplo.com,Feminino,45-54,Pós,+10k,Desempregado,LinkedIn,Avançado,Não,Trabalho,Falta de disciplina,Não,3-6 meses,Não,Sim
lead156@exemplo.com,Masculino,45-54,Superior,+10k,Desempregado,YouTube,Intermediário,Não,Pessoal,Nenhum,Sim,<1 mês,Não,Sim
lead157@exemplo.com,Feminino,25-34,Fundamental,<2k,Desempregado,YouTube,Iniciante,Não,Pessoal,Falta de disciplina,Não,>6 meses,Não,Não
lead158@exemplo.com,Masculino,35-44,Pós,5k-10k,CLT,Facebook,Avançado,Não,Viagem,Falta de tempo,Não,>6 meses,Sim,Não
lead159@exemplo.com,Feminino,35-44,Fundamental,+10k,Empreendedor,LinkedIn,Iniciante,Não,Trabalho,Falta de disciplina,Sim,>6 meses,Não,Sim
lead160@exemplo.com,Masculino,+55,Pós,<2k,Desempregado,YouTube,Iniciante,Não,Pessoal,Nenhum,Sim,<1 mês,Não,Sim
lead161@exemplo.com,Masculino,18-24,Fundamental,+10k,CLT,Facebook,Intermediário,Sim,Pessoal,Nenhum,Sim,3-6 meses,Sim,Sim
lead162@exemplo.com,Feminino,35-44,Superior,<2k,Estudante,YouTube,Iniciante,Não,Trabalho,Falta de tempo,Não,<1 mês,Não,Não
lead163@exemplo.com,Feminino,18-24,Médio,+10k,Estudante,Instagram,Intermediário,Sim,Trabalho,Falta de disciplina,Sim,3-6 meses,Sim,Não
lead164@exemplo.com,Feminino,45-54,Fundamental,+10k,CLT,Instagram,Iniciante,Sim,Pessoal,Falta de tempo,Sim,1-3 meses,Sim,Não
lead165@exemplo.com,Masculino,18-24,Médio,2k-5k,Empreendedor,YouTube,Avançado,Não,Pessoal,Falta de tempo,Não,>6 meses,Sim,Não
lead166@exemplo.com,Feminino,45-54,Fundamental,<2k,CLT,LinkedIn,Iniciante,Não,Pessoal,Nenhum,Não,3-6 meses,Sim,Sim
lead167@exemplo.com,Masculino,25-34,Fundamental,<2k,Estudante,Instagram,Intermediário,Não,Trabalho,Falta de disciplina,Sim,1-3 meses,Sim,Sim
lead168@exemplo.com,Masculino,25-34,Fundamental,<2k,Estudante,Facebook,Iniciante,Não,Pessoal,Falta de tempo,Sim,<1 mês,Sim,Não
lead169@exemplo.com,Feminino,+55,Fundamental,<2k,Desempregado,YouTube,Intermediário,Sim,Pessoal,Nenhum,Não,>6 meses,Não,Não
lead170@exemplo.com,Feminino,35-44,Fundamental,+10k,Empreendedor,Facebook,Intermediário,Sim,Pessoal,Falta de tempo,Não,3-6 meses,Sim,Sim
